lstmprediction,lstmreal
71.45,70.9
71.08,71.0
70.9,71.3
71.07,70.5
70.27,74.7
73.97,71.0
71.04,66.7
67.56,63.2
64.12,64.6
65.73,64.6
66.2,66.6
68.11,67.3
68.68,67.0
68.1,66.5
67.39,65.7
66.31,67.2
67.74,69.2
69.5,66.5
67.16,66.9
67.65,66.1
66.91,67.1
67.79,66.3
67.2,66.3
67.08,65.7
66.76,66.3
67.17,66.9
67.71,67.7
68.3,67.6
68.23,67.8
68.34,69.5
69.79,70.6
70.67,69.6
69.82,69.1
69.44,68.1
68.63,67.8
68.48,66.9
67.81,66.6
67.62,66.8
67.93,70.1
70.72,69.4
69.98,68.9
69.4,66.7
67.46,64.8
65.51,64.8
65.7,62.9
63.58,61.8
62.7,61.2
62.21,62.4
63.52,65.3
66.48,63.5
64.29,64.7
65.49,63.8
64.39,63.6
64.01,64.2
64.78,62.9
63.24,62.9
63.57,65.4
66.14,61.2
61.45,61.5
62.11,60.9
61.35,59.5
59.68,62.5
63.46,61.9
62.42,62.4
63.18,63.9
64.65,64.5
64.9,65.1
65.65,63.9
64.22,63.9
64.32,64.9
65.44,65.8
66.3,65.3
65.93,65.0
65.64,64.9
65.58,65.5
66.17,67.0
67.58,65.7
66.37,62.3
62.78,62.2
62.8,62.7
63.34,62.6
63.33,63.0
63.89,61.7
62.4,60.2
60.71,58.8
58.99,59.0
59.31,54.9
54.3,46.8
44.28,34.0
30.1,33.8
33.91,29.2
29.51,27.3
27.98,29.8
31.31,24.7
23.96,26.3
27.0,28.6
28.89,31.4
31.89,27.3
26.02,23.9
22.96,26.6
27.49,24.2
22.79,23.9
23.54,20.5
19.64,16.6
15.86,15.8
16.43,15.0
14.8,17.2
17.39,20.3
20.79,23.8
25.09,20.9
20.67,20.9
21.89,20.1
20.71,19.6
19.65,18.2
18.25,18.3
18.42,17.6
17.57,17.9
17.94,19.6
20.19,14.5
13.54,14.6
15.26,17.1
17.9,14.9
14.16,14.4
14.85,15.4
15.94,16.4
16.71,13.3
13.16,14.0
14.74,15.1
15.76,13.7
13.52,14.4
15.15,14.1
14.4,13.3
13.55,14.9
15.78,14.1
14.23,12.1
12.29,10.4
11.06,10.5
11.08,13.7
14.46,12.5
12.31,11.4
11.74,10.6
11.41,8.6
9.14,9.0
10.03,7.6
7.95,7.3
